25.776471	26.467478	[speech]
29.203148	29.848930	what is that
34.354911	36.011271	is it a drink good job
40.027003	40.570550	mmm
41.895981	42.441243	othername
43.140824	44.272499	[speech] drink it
45.825980	46.321687	and mummy
47.285155	48.756606	[speech]
50.662194	51.180938	what is that
58.571042	60.191394	[foreign]
64.772964	65.429678	yeah
70.527360	71.142922	[pournoise]
71.996823	73.095209	pour some tea for papa
73.714911	75.393562	mmm [drinknoise]
76.321193	77.367135	and tea for babyname
78.354779	79.425998	[foreign]
83.323861	83.785104	yeah
88.016883	88.445785	okay
97.413215	98.335702	yes babyname
107.017021	108.349311	ooh [foreign]
110.840711	113.987110	[speech] babyname very good [gasp] wow
122.987356	124.448246	[speech] book [speech] book is it
132.003034	132.486058	mmm
133.160429	133.978769	[foreign]
134.821934	135.609106	good job
144.612637	145.926066	for othername and for mummy
149.120476	150.507635	[speech] and what is for papi
154.897899	156.047699	it is [speech] papi
161.450590	164.514686	what are you eating [speech]
166.551701	167.067813	mmm
169.691242	170.888074	[speech]
179.812875	180.971984	[speech]
188.314155	190.618657	[speech] babyname
191.993813	193.089074	[speech]
195.675186	196.688519	[foreign]
199.562782	200.129165	ooh
209.296439	210.689303	[speech] and for papi
212.041608	212.674291	[speech]
215.719552	217.377627	[foreign]
223.452665	224.486604	is the [speech] 
225.813750	228.226013	yeah that is it good job [pournoise]
229.095608	229.395833	yeah
230.091825	232.855855	[pournoise] [foreign]
238.071848	239.617199	[speech]
251.658807	252.408113	[speech]
260.772221	263.389419	[foreign]
266.290148	267.597594	[foreign]
269.239208	270.792689	[foreign]
272.140411	272.901719	[foreign]
291.433755	291.965300	yeah
292.464266	293.064396	[speech]
311.860186	312.500676	not in here
313.854638	314.999114	[speech] here
321.615186	324.572973	for mummy [foreign] for mummy and for papi 
326.417946	327.770812	and for babyname and for othername
329.548913	330.277644	wow
330.867486	331.337303	yes
334.723755	335.641097	[speech]
337.966752	339.205385	[speech]
339.727130	341.602967	tea oh right very good tea
342.047064	343.967482	[drinknoise] ooh [speech]
354.125123	356.290737	foreign]
356.998892	358.003682	[foreign]
359.065056	360.225880	[foreign]
363.181953	364.449142	[foreign]
365.639059	367.147959	[speech] babyname
370.191479	371.703808	[foreign] 
374.699318	375.803275	[foreign]
377.692984	378.941385	[foreign] 
380.439997	381.621397	[foreign]
383.420074	384.628909	[foreign]
385.875466	388.018790	[foreign]
389.097311	390.637075	[foreign]
402.733995	404.434937	[speech]
420.945390	422.543452	[foreign]
426.175100	427.046147	[speech]
437.241510	438.500070	[speech]
439.088198	440.646226	[foreign] [drinknoise]
441.517870	442.150579	[foreign]
444.160160	445.151233	is it for othername
445.801089	446.557253	oh okay
448.379936	449.509896	[speech] 
453.162120	453.640510	[speech]
457.182996	458.871935	[foreign]
460.271097	460.723767	yeah
470.076986	470.759821	uh oh
474.430752	475.505844	[foreign]
478.551078	479.591876	[foreign]
482.331902	483.540736	[speech]
484.320906	484.843877	yeah
485.804086	486.724421	[foreign]
490.713155	491.287566	boom
492.456964	493.437749	[speech]
504.207523	504.884813	what is that
505.534669	506.464014	[foreign]
509.389223	510.970139	[foreign]
517.394966	519.313670	what is that [foreign]
520.313316	521.378119	yeah [foreign]
521.938813	522.672687	[foreign]
524.099284	524.536522	yeah
527.388000	527.979557	[foreign]
528.648274	529.512462	[foreign]
550.172390	550.979995	oh boom
557.073893	558.649809	[foreign]
563.654755	564.669833	what is in the book
570.750015	572.445813	that is not my truck
573.011650	573.279137	its
574.150184	574.601139	its
576.833625	578.994096	its tank is too shiny
583.851725	586.019054	that is not my truck 
586.708347	587.294761	its
587.843452	590.238831	tank is too shiny
594.487756	598.137843	[foreign]
599.292231	600.614233	[foreign]
602.323748	604.712268	that is not my truck
605.611986	606.474938	its
609.026351	611.298274	hubcaps are too
611.766376	612.510538	round
615.466610	616.226204	yeah
618.180916	619.797839	is that the bus it is the red bus
629.132444	629.895467	wow
630.615624	633.223621	that is not my truck
634.118673	638.242428	its mixer is too lumpy
639.665595	640.325461	[speech]
645.449377	646.117857	[speech]
